ID,RA,DEC
"iDR3.STRIPE82-0010.047733",5.794702286778074,1.406103939044776
"iDR3.STRIPE82-0106.060406",313.07600739671597,1.4036058927754294
"iDR3.HYDRA-0121.007936",150.36426265509746,-41.065510117550396
"iDR3.SPLUS-s13s46.028473",348.08138382562527,-16.292385542490308
"iDR3.HYDRA-0152.069911",151.82573425047684,-46.15034498507277
"iDR3.HYDRA-0114.003307",154.6713324591896,-39.75867105583593
"iDR3.HYDRA-0035.033179",157.01808849373546,-26.7325113454699
"iDR3.HYDRA-0110.000109",163.1468311485558,-38.44762542248417
"iDR3.HYDRA-0057.003463",163.85685963775933,-30.106871587251252
"iDR3.SPLUS-s29s31.004460",51.824508481136085,-38.08781242098932
"iDR3.SPLUS-n16s10.042938",164.89864692065544,-19.895980828646167
"iDR3.STRIPE82-0095.000465",306.4236931426687,-1.3708953451029295
"iDR3.HYDRA-0136.074577",164.1661499886443,-41.13029794023586
"iDR3.HYDRA-0036.051717",160.09994895059572,-25.944221356349157
"iDR3.SPLUS-n15s12.006795",165.9565453013735,-19.48303098308718
"iDR3.SPLUS-s32s43.044670",316.13889326362374,-41.31680090947594
"iDR3.HYDRA-0097.053552",155.63551520246293,-36.10692505600672
"iDR3.SPLUS-n10s37.034860",201.45279121661528,-11.610508041620403
"iDR3.SPLUS-n08s38.007779",202.57544791378788,-10.061099281143985
"iDR3.STRIPE82-0099.000216",308.71568785901957,-1.3756199014350066
"iDR3.SPLUS-n02s27.028962",186.55515575396555,-1.3050604270173294
"iDR3.STRIPE82-0131.088686",331.4438701132191,-0.0515485997197639
"iDR3.HYDRA-0086.000006",149.98570338784987,-35.673153735262105
"iDR3.HYDRA-0141.003390",158.81235704715542,-43.873488644268186
"iDR3.HYDRA-0160.098123",151.175481558165,-47.31676166970669
"iDR3.SPLUS-n01s26.012257",185.1262278328599,-0.4489898505732815
"iDR3.SPLUS-n12s33.033744",195.85333719778333,-14.768012017147683
"iDR3.SPLUS-n17s07.000215",159.75467689646442,-22.29141044512201
"iDR3.SPLUS-n15s17.046730",172.89437567103894,-18.208436773501376
"iDR3.HYDRA-0021.074177",151.0744995610249,-24.57100113320295
"iDR3.SPLUS-n18s14.055084",170.50747890578657,-22.40581366567755
"iDR3.SPLUS-n14s02.046961",151.33320686638874,-17.014160498775645
"iDR3.SPLUS-s33s06.005631",9.3334998428977,-43.28679289061124
"iDR3.HYDRA-0062.046290",156.26606979800349,-30.635398185393296
"iDR3.HYDRA-0086.000385",151.2042251110183,-35.662840176543284
"iDR3.STRIPE82-0131.041469",332.36471190897396,-0.6686601125078618
"iDR3.HYDRA-0069.084373",152.7171290639798,-31.499432358148674
"iDR3.STRIPE82-0129.000327",330.2934595581163,-1.3716355828766573
"iDR3.STRIPE82-0085.015705",60.06204423774292,-0.9933700440480975
"iDR3.SPLUS-n13s32.041673",193.96621629887355,-15.988729866184018
"iDR3.SPLUS-n12s33.007825",196.84091911204848,-15.407643116570899
"iDR3.SPLUS-n10s38.064523",201.4528190508685,-11.610542402646047
"iDR3.SPLUS-s19s23.021620",317.80422712593304,-24.57136224530977
"iDR3.SPLUS-s26s50.028795",320.47279017798735,-33.754863540113156
"iDR3.HYDRA-0103.027272",149.76215179465476,-38.039617128121755
"iDR3.SPLUS-n12s27.041703",187.152690295965,-14.574987744714058
"iDR3.STRIPE82-0061.047759",42.22020967186947,-0.34502876439944874
"iDR3.STRIPE82-0117.000340",321.7023103334203,-1.3712765862513248
"iDR3.SPLUS-n10s38.032218",202.49740011343826,-12.197517711097328
"iDR3.HYDRA-D-0003.023388",157.4099439878381,-36.465602795184395
"iDR3.STRIPE82-0095.009756",306.7826580607502,-1.2428284291642158
"iDR3.HYDRA-0036.025605",158.60707177776573,-26.843964133495795
"iDR3.STRIPE82-0009.064709",6.293812438051372,-0.039030855954169545
"iDR3.STRIPE82-0160.001431",351.3306080429088,0.02582069257870232
"iDR3.SPLUS-s31s44.026340",317.0029779711126,-40.16208718631008
"iDR3.SPLUS-s26s41.031556",65.02824515881092,-32.85555378019325
"iDR3.HYDRA-0137.029733",149.10095208487328,-43.64294973842349
"iDR3.HYDRA-D-0001.132432",158.28552240801693,-33.90187445311281
"iDR3.SPLUS-s23s21.059687",315.1712471950401,-28.869889728842818
"iDR3.HYDRA-0103.000336",150.83321357311652,-38.41429873694168
"iDR3.SPLUS-s29s36.034085",59.690802565282205,-37.28245753340851
"iDR3.SPLUS-n15s02.031739",152.09244557889758,-18.855645526199307
"iDR3.HYDRA-0155.011583",157.86514050392827,-46.525508474788936
"iDR3.HYDRA-0165.095729",161.45762448641304,-47.24326482253396
"iDR3.SPLUS-n14s05.040853",155.35138973078116,-17.35180452632072
"iDR3.HYDRA-0069.072773",152.77837940084646,-31.490207222019478
"iDR3.SPLUS-n11s41.018800",206.44252149492056,-13.92061545280537
"iDR3.HYDRA-0064.058790",159.30148712477805,-30.104959715534267
"iDR3.HYDRA-0138.057868",152.3388977321178,-43.32801654411058
"iDR3.HYDRA-0137.051512",149.09872315744735,-43.45483084836025
"iDR3.HYDRA-0094.048867",165.40719441027971,-34.867606715839734
"iDR3.HYDRA-0034.000945",156.8924500671813,-27.390251030201163
"iDR3.SPLUS-n14s04.032195",154.40099823757333,-17.535628487907275
"iDR3.HYDRA-0069.008022",151.72492172026872,-32.82408028493995
"iDR3.HYDRA-D-0001.006234",159.0274738218744,-35.31470268129857
"iDR3.HYDRA-0071.021858",156.77080504158823,-32.560112159833395
"iDR3.SPLUS-s34s43.033280",316.38010230141634,-44.08160542584141
"iDR3.SPLUS-n17s01.032374",150.78584556846346,-21.440884622598723
"iDR3.SPLUS-n03s27.019933",186.81823624008837,-2.929951922575227
