Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,R_PStotal,F660_PStotal,I_PStotal
H,"iDR3.HYDRA-0118.000121",161.0177974465539,-39.819466947231554,4.3221993,43,3.807083,12.0,0,18.204163,17.211628,19.065756
H,"iDR3.HYDRA-0055.029299",158.93535787795608,-29.789628509444547,2.9487014,445,2.9708219,11.0,3,14.961038,14.976032,19.514915
S,"iDR3.SPLUS-s25s45.023355",70.90506597528633,-32.10941199742046,2.5742233,18,2.3134396,12.0,0,18.850035,18.504217,19.652172
S,"iDR3.SPLUS-n11s39.055025",203.00564059185757,-13.098948286766191,5.609717,23,4.171245,12.0,0,19.951694,18.916412,20.373081
H,"iDR3.HYDRA-0111.075690",164.81458381448007,-37.01159148585931,5.8669906,60,1.82,12.0,0,18.442284,17.915792,19.238789
H,"iDR3.HYDRA-0121.007274",150.36431382690853,-41.073189326543975,5.245522,54,3.3385172,12.0,0,17.04612,16.843115,20.20781
S,"iDR3.SPLUS-s27s47.000284",316.4120535567434,-35.57462618104087,5.7074714,38,4.43525,12.0,0,18.928568,17.678333,20.215137
S,"iDR3.SPLUS-n03s25.014998",183.43415830944113,-3.0591089411962344,6.4158144,32,7.51585,12.0,3,20.182701,19.09472,20.678497
S,"iDR3.SPLUS-n15s05.030293",156.1922208795262,-18.642300862355984,6.6814504,240,3.6809926,12.0,7,12.381189,11.574181,12.808997
S,"iDR3.SPLUS-s23s21.012345",315.81034688313594,-30.04078872053611,2.2015095,60,3.0268,12.0,3,17.2445,16.18232,18.563934
S,"iDR3.STRIPE82-0009.004207",5.591884072268045,-1.3065965074642498,4.3587923,545,4.339124,12.0,3,18.392399,16.786915,18.845098
S,"iDR3.SPLUS-n09s38.000059",201.245569648305,-11.547789505317613,3.6501606,7,1.82,9.0,2,18.035503,17.653503,19.461124
S,"iDR3.STRIPE82-0091.052056",303.94113570572546,-0.8318492558212386,3.0579574,13,3.5900486,10.0,0,19.904854,18.68814,20.453218
H,"iDR3.HYDRA-0118.000187",161.17416113062097,-39.81807603743091,5.3405643,54,4.353576,12.0,2,19.285475,18.880062,20.023056
S,"iDR3.SPLUS-s21s22.000208",318.4351200795311,-27.61625697399496,6.61346,12,1.82,6.0,1,17.421368,17.208538,19.052319
H,"iDR3.HYDRA-0021.018612",150.31648554781435,-25.670183476761334,2.5550041,80,3.2937026,12.0,0,17.237627,17.198095,18.778519
H,"iDR3.HYDRA-0035.033179",157.01808849373546,-26.7325113454699,6.96823,97,4.2842607,12.0,2,18.04308,16.971039,19.13171
S,"iDR3.SPLUS-s28s35.039399",57.509130564336886,-35.8326311130568,5.054286,15,6.909794,12.0,0,20.354088,19.549965,20.875385
H,"iDR3.HYDRA-0163.052248",157.35242130447386,-47.61402751103381,2.3687208,11,2.6544101,12.0,0,19.38175,18.914822,20.226196
H,"iDR3.HYDRA-0036.051717",160.09994895059572,-25.944221356349157,5.349261,648,2.3697436,12.0,6,12.618952,12.254681,13.324976
H,"iDR3.HYDRA-0147.022621",156.37943171551407,-45.06578160065995,3.0930884,13,2.1937435,12.0,0,19.559654,18.904268,20.332964
S,"iDR3.STRIPE82-0116.031319",320.0164684140071,0.681203207622036,6.5251455,22,5.5252023,10.0,0,20.163893,19.52691,20.580986
H,"iDR3.HYDRA-0069.072570",152.6843764697024,-31.498430865038777,3.2168097,52,3.288677,11.0,2,17.995327,16.677002,18.929808
S,"iDR3.STRIPE82-0088.122005",301.0978215799018,1.1690236776307426,6.789717,19,4.920135,11.0,0,19.520988,18.940556,20.074743
S,"iDR3.SPLUS-n13s32.041673",193.96621629887355,-15.988729866184018,2.9180717,9,5.606752,12.0,0,20.648361,20.134802,20.981865
S,"iDR3.STRIPE82-0010.047733",5.794702286778074,1.406103939044776,4.194374,248,3.2369184,12.0,2,15.282297,14.961543,16.641548
S,"iDR3.STRIPE82-0106.060406",313.07600739671597,1.4036058927754294,4.643042,73,2.8859038,10.0,3,18.345295,17.654224,18.715656
H,"iDR3.HYDRA-0121.007936",150.36426265509746,-41.065510117550396,3.4707518,27,3.7659626,11.0,0,18.381985,18.200768,20.432076
H,"iDR3.HYDRA-0152.069911",151.82573425047684,-46.15034498507277,3.6292922,22,3.7357128,12.0,0,19.497055,18.23393,20.589989
S,"iDR3.SPLUS-n11s41.068773",205.48845310924332,-13.033715110540074,2.091906,40,0.0,12.0,3,16.714365,16.374456,19.30312
H,"iDR3.HYDRA-0114.003307",154.6713324591896,-39.75867105583593,4.052063,17,1.82,11.0,0,19.74358,19.023418,20.353123
H,"iDR3.HYDRA-0110.000109",163.1468311485558,-38.44762542248417,4.516941,38,3.869736,12.0,0,18.658712,17.963491,19.399994
S,"iDR3.SPLUS-s29s31.004460",51.824508481136085,-38.08781242098932,4.773123,36,4.124976,12.0,2,18.179632,17.327736,19.596472
S,"iDR3.SPLUS-n16s10.042938",164.89864692065544,-19.895980828646167,3.6046214,24,3.9314718,12.0,2,19.295345,18.652943,20.245426
S,"iDR3.STRIPE82-0095.000465",306.4236931426687,-1.3708953451029295,4.1426005,15,3.7123497,11.0,0,19.817734,19.039936,20.338879
H,"iDR3.HYDRA-0136.074577",164.1661499886443,-41.13029794023586,2.9083772,18,1.82,8.0,0,19.246464,18.082638,20.445955
S,"iDR3.SPLUS-n15s12.006795",165.9565453013735,-19.48303098308718,3.4143138,18,4.9992266,12.0,3,20.371477,19.50076,20.780756
S,"iDR3.SPLUS-s32s43.044670",316.13889326362374,-41.31680090947594,2.6473017,165,3.548641,12.0,2,16.485435,16.38835,19.539814
H,"iDR3.HYDRA-0097.053552",155.63551520246293,-36.10692505600672,3.827733,44,3.5864513,12.0,3,18.46465,17.78672,18.97594
S,"iDR3.SPLUS-n10s37.034860",201.45279121661528,-11.610508041620403,5.57681,113,4.7410407,12.0,0,18.044483,16.191204,18.921644
S,"iDR3.SPLUS-n08s38.007779",202.57544791378788,-10.061099281143985,6.171308,552,5.4768605,12.0,3,18.179132,16.631683,18.63451
S,"iDR3.STRIPE82-0099.000216",308.71568785901957,-1.3756199014350066,2.6644688,38,3.4571393,10.0,0,18.542192,18.297592,20.295422
S,"iDR3.STRIPE82-0131.088686",331.4438701132191,-0.0515485997197639,0.0,0,2.9810424,9.0,3,18.767878,18.21566,19.178291
H,"iDR3.HYDRA-0086.000006",149.98570338784987,-35.673153735262105,3.5039866,78,3.3147435,12.0,3,15.646077,15.6296015,17.574883
H,"iDR3.HYDRA-0141.003390",158.81235704715542,-43.873488644268186,4.913618,37,3.792041,12.0,2,18.498894,17.803543,19.293858
H,"iDR3.HYDRA-0160.098123",151.175481558165,-47.31676166970669,3.3205788,21,2.8875425,12.0,0,18.835142,18.375914,19.587523
S,"iDR3.SPLUS-n17s07.000215",159.75467689646442,-22.29141044512201,4.241661,193,2.7635868,12.0,0,14.954874,15.231749,19.699604
S,"iDR3.SPLUS-n15s17.046730",172.89437567103894,-18.208436773501376,2.9116886,14,3.6465387,12.0,0,20.230251,19.689537,20.542627
S,"iDR3.SPLUS-n18s14.055084",170.50747890578657,-22.40581366567755,5.019401,60,4.2579618,12.0,2,18.86314,17.718197,19.92621
S,"iDR3.SPLUS-n14s02.046961",151.33320686638874,-17.014160498775645,3.0731254,10,5.2928023,11.0,2,20.59708,20.074066,20.970606
H,"iDR3.HYDRA-0062.046290",156.26606979800349,-30.635398185393296,4.5333424,38,4.6172333,12.0,0,17.945883,17.700766,20.27419
H,"iDR3.HYDRA-0086.000385",151.2042251110183,-35.662840176543284,4.372042,41,4.19845,10.0,0,18.496742,17.9491,18.787739
S,"iDR3.STRIPE82-0131.041469",332.36471190897396,-0.6686601125078618,5.029144,23,1.82,12.0,0,19.519888,17.499144,20.428757
H,"iDR3.HYDRA-0069.084373",152.7171290639798,-31.499432358148674,4.5931196,62,2.5952535,12.0,2,18.141525,17.792059,19.151228
S,"iDR3.STRIPE82-0129.000327",330.2934595581163,-1.3716355828766573,6.9736104,125,2.474809,12.0,3,18.290745,17.762651,18.575296
S,"iDR3.STRIPE82-0085.015705",60.06204423774292,-0.9933700440480975,5.8283467,616,2.929927,12.0,0,15.504037,14.142957,17.557327
S,"iDR3.SPLUS-s19s23.021620",317.80422712593304,-24.57136224530977,2.2364705,41,3.6564116,12.0,2,18.414324,17.459164,19.908182
S,"iDR3.SPLUS-s26s50.028795",320.47279017798735,-33.754863540113156,3.9383857,19,5.878109,12.0,0,20.08757,19.56336,20.614542
H,"iDR3.HYDRA-0103.027272",149.76215179465476,-38.039617128121755,4.2875953,19,1.82,9.0,2,19.303339,19.072323,20.491997
S,"iDR3.STRIPE82-0061.047759",42.22020967186947,-0.34502876439944874,2.5409412,53,8.001971,12.0,3,20.165321,18.327484,20.750933
S,"iDR3.STRIPE82-0117.000340",321.7023103334203,-1.3712765862513248,4.484475,28,1.82,12.0,0,20.003809,17.705822,20.582458
S,"iDR3.SPLUS-n09s38.000044",201.2186674040103,-11.54791194856237,5.3020334,4,1.82,8.0,3,18.21185,18.533524,20.661098
S,"iDR3.SPLUS-n10s38.032218",202.49740011343826,-12.197517711097328,3.538663,54,5.9495587,12.0,2,19.206768,17.483494,19.958118
H,"iDR3.HYDRA-D-0003.023388",157.4099439878381,-36.465602795184395,2.5266755,342,2.9641695,11.0,3,17.103912,16.846928,19.640831
S,"iDR3.STRIPE82-0095.009756",306.7826580607502,-1.2428284291642158,3.480765,14,3.8938715,11.0,0,19.139175,18.734531,20.00452
S,"iDR3.STRIPE82-0009.064709",6.293812438051372,-0.039030855954169545,2.9461381,32,3.6000597,11.0,0,18.784103,18.33843,19.331934
S,"iDR3.STRIPE82-0160.001431",351.3306080429088,0.02582069257870232,3.7481322,852,2.8812387,12.0,2,13.650569,13.0615015,13.978353
S,"iDR3.SPLUS-s31s44.026340",317.0029779711126,-40.16208718631008,5.055963,53,3.129607,12.0,0,18.420586,18.114326,19.259686
S,"iDR3.SPLUS-s26s41.031556",65.02824515881092,-32.85555378019325,3.2591283,6,6.0534234,12.0,0,20.506042,19.755524,20.931683
H,"iDR3.HYDRA-0137.029733",149.10095208487328,-43.64294973842349,3.7327921,586,2.7797425,12.0,2,13.830495,13.520803,17.137306
H,"iDR3.HYDRA-D-0001.132432",158.28552240801693,-33.90187445311281,2.280571,25,1.82,8.0,0,18.570158,18.427723,19.754353
S,"iDR3.SPLUS-s23s21.059687",315.1712471950401,-28.869889728842818,6.395696,129,4.67546,12.0,3,18.288963,17.25395,18.834728
H,"iDR3.HYDRA-0103.000336",150.83321357311652,-38.41429873694168,4.8127246,148,3.2263708,12.0,0,16.011202,15.815117,17.691547
S,"iDR3.SPLUS-s29s36.034085",59.690802565282205,-37.28245753340851,3.2607732,20,3.9724617,12.0,0,19.76236,17.853773,20.850153
S,"iDR3.SPLUS-n15s02.031739",152.09244557889758,-18.855645526199307,3.813432,15,5.1287127,12.0,3,20.08524,19.142046,20.527422
H,"iDR3.HYDRA-0155.011583",157.86514050392827,-46.525508474788936,4.667578,12,5.1541076,11.0,0,20.143373,19.68286,20.709927
H,"iDR3.HYDRA-0165.095729",161.45762448641304,-47.24326482253396,1.7494494,8,4.315525,12.0,0,20.0794,19.67624,20.786934
S,"iDR3.SPLUS-n14s05.040853",155.35138973078116,-17.35180452632072,2.167984,16,4.4273195,12.0,3,19.885973,19.428625,20.617712
H,"iDR3.HYDRA-0069.072773",152.77837940084646,-31.490207222019478,3.8123047,61,3.0728838,10.0,0,19.29166,15.901106,20.063118
S,"iDR3.SPLUS-n11s41.018800",206.44252149492056,-13.92061545280537,2.479375,18,2.028527,12.0,0,19.076864,18.232996,20.426079
H,"iDR3.HYDRA-0064.058790",159.30148712477805,-30.104959715534267,4.479651,101,3.4859502,12.0,2,16.906168,16.258482,18.200993
H,"iDR3.HYDRA-0138.057868",152.3388977321178,-43.32801654411058,3.5998287,17,6.9662757,12.0,2,19.811907,18.335978,20.418453
H,"iDR3.HYDRA-0137.051512",149.09872315744735,-43.45483084836025,4.5569725,246,3.1220183,12.0,3,14.93093,14.966357,17.08957
H,"iDR3.HYDRA-0094.048867",165.40719441027971,-34.867606715839734,2.241325,37,4.174682,12.0,2,18.097658,18.068775,19.953243
S,"iDR3.SPLUS-n14s04.032195",154.40099823757333,-17.535628487907275,2.5165823,530,0.0,12.0,3,15.982226,15.865669,17.291481
H,"iDR3.HYDRA-0069.008022",151.72492172026872,-32.82408028493995,5.0474854,1856,2.2825706,12.0,6,12.078951,12.029504,14.828983
H,"iDR3.HYDRA-D-0001.006234",159.0274738218744,-35.31470268129857,4.173238,2760,2.0380635,12.0,6,12.121487,11.968616,15.326237
H,"iDR3.HYDRA-0071.021858",156.77080504158823,-32.560112159833395,2.639208,14,1.9309353,10.0,0,19.918118,19.341667,20.212978
S,"iDR3.SPLUS-s34s43.033280",316.38010230141634,-44.08160542584141,3.7422843,174,4.6683187,12.0,3,18.095053,17.713692,18.757965
S,"iDR3.SPLUS-n17s01.032374",150.78584556846346,-21.440884622598723,4.489175,39,4.4422174,12.0,0,19.162209,17.679432,19.664293
S,"iDR3.SPLUS-n03s27.019933",186.81823624008837,-2.929951922575227,3.0008855,49,3.4319563,12.0,2,18.32176,17.244205,19.740383
S,"iDR3.SPLUS-s28s36.000026",57.88896481579407,-36.90414856393459,2.7896006,27,3.9750292,7.0,0,18.944153,18.090796,19.479258
H,"iDR3.HYDRA-0155.100981",157.83910402368363,-45.64787657223866,6.404814,37,3.7876039,12.0,3,18.32241,17.665272,18.998108
S,"iDR3.SPLUS-s21s22.042879",318.4259223199058,-26.523973932156988,3.7945862,17,2.7709556,11.0,0,19.763351,19.121445,20.23338
H,"iDR3.HYDRA-0095.038481",150.34345612577488,-36.36023161905911,3.6258214,170,3.3070138,12.0,2,15.486588,15.673632,19.557419
S,"iDR3.SPLUS-s30s41.034491",68.10072582475581,-38.6335461956776,2.2203786,16,5.177378,12.0,0,20.089348,18.527515,20.601849
H,"iDR3.HYDRA-0077.016390",149.49789108084275,-34.054968514257155,2.4402833,61,3.3158453,10.0,3,17.232924,16.997065,18.30677
H,"iDR3.HYDRA-0062.045899",156.2665107881092,-30.652673063849697,2.486852,192,3.183583,12.0,3,15.136343,15.121442,18.399105
H,"iDR3.HYDRA-0066.033639",161.47441182224094,-30.849252934535546,2.225467,56,3.905923,12.0,3,15.446046,15.274875,16.622215
S,"iDR3.SPLUS-s26s48.075519",316.1942029373568,-32.84718047090613,5.835192,47,2.4422598,12.0,2,19.357803,18.227737,20.180994
H,"iDR3.HYDRA-0112.025956",149.15783754849198,-39.50576440346268,3.0832605,446,3.0400286,12.0,3,14.469095,14.327016,17.572014
H,"iDR3.HYDRA-0073.071195",158.42009007951165,-31.74543771286902,4.7649474,50,4.7691374,12.0,3,19.179161,17.748215,19.584959
S,"iDR3.SPLUS-n11s40.058627",204.25955482322905,-12.824546471127727,3.3381019,53,3.868363,11.0,2,18.414043,18.340528,19.922106
H,"iDR3.HYDRA-0047.074822",162.59373072652033,-27.368107736260534,3.3177302,84,3.0745206,12.0,2,18.066,17.392097,19.009293
H,"iDR3.HYDRA-0061.079386",153.93283834106816,-30.109797573552832,1.9420497,35,2.4002545,8.0,0,17.629055,16.975573,18.171074
S,"iDR3.SPLUS-s22s34.015036",336.2839708697898,-28.642961733211386,2.7371693,29,3.882945,12.0,3,18.880905,17.868258,20.391327
S,"iDR3.SPLUS-s34s43.000970",318.0648945051363,-44.75456755895427,4.9511294,39,4.1131124,12.0,2,19.637938,18.241665,20.185616
S,"iDR3.SPLUS-n14s04.035800",153.84169340720192,-17.446367703037293,4.5210743,20,4.262207,12.0,0,20.240246,18.975039,20.688694
S,"iDR3.SPLUS-n17s06.044598",158.52402304958179,-21.34788738599182,2.3987267,13,5.969729,12.0,0,20.059172,18.862812,20.505451
H,"iDR3.HYDRA-0037.059414",161.10861009086577,-25.951161716193315,2.1875525,49,2.9293022,8.0,0,17.13083,16.165821,17.719105
H,"iDR3.HYDRA-0094.045164",165.40928689230049,-34.94516761917783,3.5912535,912,2.4304984,12.0,6,13.024597,13.006303,20.71708
H,"iDR3.HYDRA-0149.119352",159.4709267970888,-43.86007773288828,4.5635595,64,4.198497,12.0,2,18.714005,17.662525,19.371456
H,"iDR3.HYDRA-0117.069238",160.0639019386787,-38.59419284655704,6.6530366,36,4.6830573,12.0,0,18.98309,18.782919,20.075792
H,"iDR3.HYDRA-0134.074408",159.39841191849118,-41.4592817859141,5.7095876,306,5.625958,12.0,3,17.972614,16.478287,18.384827
S,"iDR3.STRIPE82-0036.000602",24.11961493287005,0.026195752546741502,6.4139194,452,3.5415509,12.0,2,15.311876,14.188355,16.18441
S,"iDR3.SPLUS-s31s44.000034",316.0305917464601,-40.84765690927609,2.362371,46,4.387442,10.0,0,18.920376,18.30913,19.261581
S,"iDR3.SPLUS-s24s53.000002",321.5625805797768,-31.615376365575624,4.109275,32,3.7941556,12.0,0,18.575249,17.494518,19.892654
H,"iDR3.HYDRA-D-0001.030071",157.4131079789567,-35.043837246965616,4.674772,3911,1.9295652,12.0,6,11.817741,11.591657,18.794827
S,"iDR3.SPLUS-n18s16.012467",173.44708705543903,-23.350512504245973,2.860803,14,4.1573606,12.0,0,19.913906,19.226885,20.20852
H,"iDR3.HYDRA-D-0004.003138",157.0753827774953,-36.691805709090175,3.9487412,117,3.1662457,12.0,3,16.236221,15.110349,18.111818
S,"iDR3.STRIPE82-0121.000445",324.53663582536615,-1.3736253157838896,4.4558873,47,1.82,12.0,0,18.067465,17.581072,18.854132
S,"iDR3.SPLUS-n16s01.039654",150.45553281590728,-19.940589094414495,5.5817776,220,4.137564,12.0,3,18.373692,16.644115,18.933094
S,"iDR3.SPLUS-s24s14.005974",19.60660774712286,-31.399353927533895,6.4563856,14,5.5106015,12.0,3,20.393734,19.498718,20.761496
H,"iDR3.HYDRA-0046.035084",161.62048671080032,-28.15520843981378,2.4295864,369,0.0,12.0,3,16.60566,16.308926,18.1932
S,"iDR3.SPLUS-n02s24.008833",182.74331562989954,-1.8524462527304242,3.7607121,19,4.335831,11.0,0,19.331692,18.7905,19.840456
H,"iDR3.HYDRA-0141.025732",158.8065775802616,-43.61225611492889,3.6599813,61,3.1585083,12.0,3,17.547283,16.81459,18.173807
H,"iDR3.HYDRA-0142.100845",160.71061072765804,-42.831132384496996,2.0002108,13,3.1339953,12.0,0,19.56293,19.12912,20.553814
S,"iDR3.STRIPE82-0020.047343",12.14637949210302,1.0509885693606407,4.7916894,25,6.084775,12.0,0,20.257011,19.688423,20.974485
H,"iDR3.HYDRA-0099.028003",159.1180503599658,-36.59876282039385,6.022701,47,2.9402587,12.0,2,19.18472,18.265059,20.171783
H,"iDR3.HYDRA-0137.152409",150.04403590717658,-42.47967038356912,5.7388077,366,4.4799767,12.0,3,17.64228,17.116955,18.257292
S,"iDR3.SPLUS-n13s07.001405",158.52840956441412,-16.892213111608424,5.563071,26,5.129058,12.0,0,19.995829,18.375883,20.441904
S,"iDR3.SPLUS-n03s21.047367",177.88896201644386,-2.3727022231183543,3.3682604,541,3.876519,12.0,3,17.316862,15.446701,18.08395
H,"iDR3.HYDRA-0060.064019",152.2423386574837,-30.14090150982303,5.0144086,22,1.82,12.0,2,19.571999,19.16179,20.210354
S,"iDR3.SPLUS-n16s12.056594",166.8052119589077,-19.822472037937665,5.7108912,99,4.2873325,12.0,3,18.598967,17.175598,19.035454
H,"iDR3.HYDRA-D-0001.039852",157.4120863315039,-34.90442344373757,2.235861,969,2.5703835,12.0,2,13.993433,13.980807,15.729792
H,"iDR3.HYDRA-D-0003.054153",157.4066514130115,-36.097477899578195,2.7019954,56,1.9377016,8.0,3,19.05888,18.694023,19.777576
S,"iDR3.SPLUS-s22s15.027108",21.455380574897077,-28.162097768619763,3.0574543,13,5.89639,12.0,0,20.392492,19.064775,20.935595
S,"iDR3.SPLUS-n13s07.000228",159.3341417353601,-16.925025206677073,3.0042965,21,3.3424332,12.0,0,19.391693,18.930143,20.216934
H,"iDR3.HYDRA-0093.031829",161.91055073565602,-35.210061468610334,1.8495064,93,3.083991,11.0,2,16.586792,16.457243,19.761528
S,"iDR3.SPLUS-n12s36.037222",201.03658613768138,-14.610930357652853,3.957439,38,4.3981023,12.0,0,18.887388,18.23755,19.264828
H,"iDR3.HYDRA-0149.118794",159.13859477095005,-43.862139008850626,5.898623,46,3.8651989,11.0,2,18.667149,17.5307,19.396503
H,"iDR3.HYDRA-0012.062510",153.0624222380839,-23.254182223611593,6.0643115,25,2.1154742,11.0,0,19.928417,17.932648,20.69402
S,"iDR3.SPLUS-s29s34.057247",56.393779746262815,-37.11760710785724,4.098396,16,3.6667256,12.0,0,20.549366,19.58898,20.969345
H,"iDR3.HYDRA-0139.098077",154.93781480403348,-42.757680781101506,6.222791,99,3.7542114,12.0,2,17.529655,17.098663,18.221992
S,"iDR3.SPLUS-s17s23.012702",317.20739825529853,-22.049834069389064,2.562087,24,4.016448,12.0,0,19.398785,19.002836,20.012934
H,"iDR3.HYDRA-0118.000274",161.35774364381328,-39.8162026589273,4.0842433,20,4.4604115,12.0,0,19.876081,19.45118,20.406736
S,"iDR3.STRIPE82-0013.035932",7.916972348060869,-0.5040753808569185,1.0417719,6,1.82,7.0,0,17.785933,16.987886,20.462032
S,"iDR3.SPLUS-n03n01.044529",151.494198874988,2.98683485363518,4.1115522,36,3.7445848,12.0,0,18.601645,18.067333,19.140133
H,"iDR3.HYDRA-0067.048684",164.44320867517322,-30.715305703436048,6.533116,15,3.8238134,12.0,3,19.385468,19.186514,20.601538
S,"iDR3.STRIPE82-0133.046310",333.6920538697843,0.003997383261507158,2.8054178,29,3.4082417,12.0,2,18.350117,17.914062,18.886799
S,"iDR3.SPLUS-s28s32.009762",52.535928707904795,-36.704388474125,4.0319905,55,1.82,12.0,0,18.160381,15.811881,18.928667
H,"iDR3.HYDRA-0156.006641",159.87675494493786,-46.564657537072684,6.37534,24,4.302822,12.0,3,19.084301,17.831966,20.373142
S,"iDR3.STRIPE82-0130.033159",330.18859162143974,1.4427121780449559,6.659584,54,2.8771129,12.0,0,18.712675,18.052814,19.19795
H,"iDR3.HYDRA-0063.060251",157.26596204452088,-30.49880504523656,2.7495775,30,5.5631623,12.0,3,19.644005,18.915497,19.981028
S,"iDR3.SPLUS-s32s43.039240",316.1410561269261,-41.406278151466964,2.598655,42,4.5921297,12.0,0,18.867222,18.823486,20.675356
H,"iDR3.HYDRA-0088.080177",154.72285885729622,-34.53892099406186,2.496809,17,4.015769,12.0,3,19.839756,18.172556,20.709324
H,"iDR3.HYDRA-D-0001.124046",159.0420721965171,-33.8928018726414,2.672416,52,2.7940304,11.0,0,18.178967,17.944288,20.413073
H,"iDR3.HYDRA-0102.026260",162.515650041078,-36.574052854141335,2.5206766,359,2.9090388,12.0,2,14.420264,14.446844,16.423717
S,"iDR3.STRIPE82-0099.000986",309.378260791061,-1.3673212874454577,2.6484692,49,3.3658414,12.0,0,18.193773,18.024244,19.965689
H,"iDR3.HYDRA-0114.011525",154.6692001582799,-39.6365392205941,3.6700222,78,3.6199863,12.0,2,17.687473,16.718931,18.465279
S,"iDR3.STRIPE82-0041.051277",28.668522834414734,-0.11212487241337153,5.1964183,26,6.1194477,12.0,0,20.039076,18.835674,20.801004
H,"iDR3.HYDRA-0122.097298",154.03341374311276,-39.99199791104936,6.498203,93,5.0014195,12.0,3,19.25637,17.96551,19.733355
H,"iDR3.HYDRA-0097.016974",155.6495229898173,-36.76197607667518,3.6768057,55,3.7885456,12.0,0,18.464119,17.889732,18.792011
H,"iDR3.HYDRA-0029.046523",163.3544777715607,-24.963423207760286,2.7006574,12,4.892173,12.0,0,20.586918,19.68757,20.976603
H,"iDR3.HYDRA-0103.085662",151.05256539593745,-36.998541287875604,4.9419947,54,1.82,11.0,0,19.190826,18.684296,20.984241
H,"iDR3.HYDRA-0084.007638",161.48226670092507,-34.1757868513465,3.3039515,9,5.913975,10.0,0,20.612558,19.94991,20.939505
S,"iDR3.STRIPE82-0090.164743",302.1077850847344,1.4412749015686386,2.1312945,9,1.82,9.0,2,20.130611,19.60171,20.633717
S,"iDR3.STRIPE82-0076.041290",53.14872293805281,1.1307404301546549,3.1031308,19,3.9646935,11.0,0,19.531982,18.396664,20.934706
S,"iDR3.SPLUS-s27s43.019109",68.59301627996459,-35.02425304000783,4.2777724,16,6.4702754,12.0,0,20.495941,19.91256,20.89875
H,"iDR3.HYDRA-0128.044340",165.2065914097288,-40.53613360715811,3.1268709,23,4.715485,12.0,2,19.416595,18.692083,20.424717
S,"iDR3.SPLUS-s26s15.039481",22.94171261222068,-33.123013348958494,3.7934444,13,8.561,12.0,2,20.116938,18.730185,20.97953
S,"iDR3.SPLUS-n03s19.045911",175.8722971552406,-2.0555300405054746,2.9795055,10,2.7188363,11.0,0,20.664461,19.961205,20.982096
S,"iDR3.SPLUS-s29s44.000059",72.82492579205852,-38.22045935423106,4.4014616,41,5.1877427,12.0,0,19.507502,18.253897,20.048306
S,"iDR3.SPLUS-s24s15.028978",21.359334752178796,-30.742435844021443,3.555199,26,4.481327,12.0,0,19.569538,18.461197,20.035675
S,"iDR3.SPLUS-s28s38.000046",61.28870521582715,-36.90349995111767,2.051836,21,3.9837334,9.0,0,19.473717,18.806955,20.33697
S,"iDR3.STRIPE82-0144.035938",339.9170471997488,0.9433648189988765,4.2693653,28,5.2596674,12.0,0,20.01186,18.536985,20.436298
H,"iDR3.HYDRA-0051.002911",154.1718422991151,-30.101331728951944,5.8298845,15,4.476102,10.0,0,19.684427,19.015919,20.521576
S,"iDR3.SPLUS-n05s03.014260",153.43574708010368,-5.843879434448935,4.136094,122,3.121953,12.0,2,16.487488,15.928144,17.586796
S,"iDR3.STRIPE82-0099.013037",309.11226024382256,-1.2192230941403257,2.9247055,217,3.348376,12.0,0,17.170467,16.094376,17.816248
H,"iDR3.HYDRA-D-0003.003926",158.85632105134314,-36.69237780621297,3.1923516,1782,2.4908776,12.0,7,12.1812105,12.0928955,13.748557
S,"iDR3.STRIPE82-0119.049314",323.4643830637324,-0.5911801517376837,5.5965037,27,5.1230545,12.0,0,20.37788,18.754982,20.852962
H,"iDR3.HYDRA-0057.003463",163.85685963775933,-30.106871587251252,4.5166283,70,3.466374,12.0,2,18.754704,18.150753,19.145103
H,"iDR3.HYDRA-0162.014808",155.30800173233487,-47.860427833313494,4.433694,15,2.584097,12.0,0,20.098461,19.207272,20.894464
S,"iDR3.STRIPE82-0116.051020",319.9102276591883,1.432156826417286,5.1215754,70,2.5008972,11.0,2,18.053873,17.574408,18.47011
H,"iDR3.HYDRA-0050.014009",150.8633898417899,-29.921895348334015,2.7917113,88,3.54419,12.0,2,16.92386,16.59013,20.712357
H,"iDR3.HYDRA-0135.069910",161.2720075661048,-41.67405607050589,2.2354963,15,2.704092,12.0,0,19.887894,19.219578,20.24392
S,"iDR3.SPLUS-s24s69.010693",348.23866129473436,-31.34911035441254,4.776338,47,4.2126875,12.0,2,18.49868,17.657677,19.667286
H,"iDR3.HYDRA-0086.000101",150.3281186076152,-35.672643976049294,4.11112,242,3.080123,12.0,2,14.670212,14.414506,20.215555
S,"iDR3.STRIPE82-0159.019049",351.0847562454346,-0.10695578184817373,5.605859,45,6.811885,12.0,0,18.573082,16.795677,19.362875
S,"iDR3.SPLUS-s29s44.009421",73.06060239400423,-37.9919065152491,3.8456674,15,4.4458575,12.0,0,20.274757,19.01905,20.790928
S,"iDR3.STRIPE82-0132.019737",332.36516896581617,0.37599450288309955,5.7356915,33,3.960684,12.0,2,19.383331,18.856804,20.125116
H,"iDR3.HYDRA-0164.009082",159.41836338488045,-47.90958735478752,6.6497126,14,3.4437633,12.0,3,20.045727,19.00994,20.821701
