Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,R_PStotal,F660_PStotal,I_PStotal
H,"iDR3.HYDRA-0148.050363",158.33596413024327,-44.70483133437549,5.7188296,11,1.82,10.0,0,20.160778,19.066483,20.971928
S,"iDR3.SPLUS-n16s01.000509",150.80331114785088,-20.942158262912596,3.316183,71,0.0,12.0,3,16.393978,16.330572,18.4119
S,"iDR3.STRIPE82-0106.020286",313.94015496296885,0.380904458015274,4.207525,21,5.1603546,12.0,2,19.380026,18.050365,20.510036
S,"iDR3.SPLUS-s02s08.040033",334.89283243504946,-1.071376767124696,3.5545502,15,1.9132223,12.0,0,19.940033,19.434006,20.572376
S,"iDR3.SPLUS-n07s01.014743",151.28286671900932,-8.512947035164837,3.3421724,19,3.560928,12.0,0,19.366264,19.00025,20.249247
H,"iDR3.HYDRA-0014.002392",156.15271326415757,-24.57046234799539,6.498936,50,3.357554,12.0,2,19.462528,18.943136,20.419598
H,"iDR3.HYDRA-D-0002.000032",156.1366542698264,-35.34266792428269,2.9419925,174,2.7415805,12.0,0,15.665255,15.051616,16.205748
S,"iDR3.STRIPE82-0164.030228",354.400936509474,0.598658560618909,4.545269,25,2.9972517,12.0,2,20.146753,18.86861,20.684025
S,"iDR3.SPLUS-s23s33.051468",334.1253072836468,-29.01480498338059,4.5215006,16,5.575469,12.0,0,19.776596,17.750317,20.807096
S,"iDR3.STRIPE82-0099.000188",308.37760318468224,-1.3783601666587044,3.9188085,139,3.6649337,12.0,2,18.463474,16.465258,19.700056
H,"iDR3.HYDRA-0102.075251",163.29524183797864,-35.63839883541829,4.1107907,41,1.82,12.0,0,18.195444,17.664555,18.606255
H,"iDR3.HYDRA-0156.038421",159.86813932922573,-46.23380179974603,3.7114892,8,3.1215522,7.0,0,20.01304,19.132504,20.635365
S,"iDR3.STRIPE82-0095.052984",306.7773939711684,-0.6357219920781817,3.2592437,13,3.721207,10.0,0,19.14422,18.520744,19.731363
S,"iDR3.STRIPE82-0112.023499",318.19224881157754,0.4463619066385694,6.254744,58,4.546764,12.0,3,18.692482,18.015629,19.755493
S,"iDR3.STRIPE82-0141.018587",338.3061798828739,-0.9200969942086774,2.3123558,42,0.0,12.0,3,17.763111,16.98271,20.48605
S,"iDR3.SPLUS-n18s20.057259",178.1002986574552,-22.455001233857036,3.1181686,19,4.1137214,12.0,0,19.938068,18.415298,20.507488
H,"iDR3.HYDRA-0137.070629",149.09749391975734,-43.2873610299356,2.377084,27,4.2134647,12.0,3,19.11382,18.72364,19.959625
H,"iDR3.HYDRA-0062.000195",155.7551497192617,-31.55286030408309,3.4445264,68,3.417533,12.0,0,16.363031,16.270992,17.74167
S,"iDR3.SPLUS-n12s33.017983",196.83914215041287,-15.158043702089627,2.557915,45,3.293907,12.0,2,17.933426,17.528687,18.555172
H,"iDR3.HYDRA-0153.109598",153.8227007784095,-45.714538397348576,5.0172195,19,4.0698533,12.0,3,20.051533,18.25489,20.874092
S,"iDR3.STRIPE82-0112.020655",318.1924501945227,0.3899566703291452,3.8215456,27,3.9132602,12.0,2,19.795095,19.10152,20.704458
S,"iDR3.SPLUS-n16s10.014423",164.90823379364934,-20.61102919684325,3.0661542,25,3.0150056,12.0,2,19.641212,18.828384,20.101112
S,"iDR3.SPLUS-s03s01.021440",325.3880970682759,-2.9619419755199896,2.361338,89,3.1581173,12.0,3,16.948141,16.480804,17.776798
H,"iDR3.HYDRA-0124.075917",157.81345348707177,-40.15591393329525,5.754659,46,3.772675,12.0,3,19.030312,17.024101,19.8467
H,"iDR3.HYDRA-0111.041295",163.9437609168157,-37.75974882908552,3.1014614,30,4.584088,9.0,0,19.570118,19.045511,20.065372
S,"iDR3.SPLUS-s22s33.000004",333.1803925715979,-28.96076557311981,6.6092114,39,4.7635098,9.0,0,19.275812,18.417606,19.982302
S,"iDR3.SPLUS-n08s01.001524",151.23671407717939,-10.159438711697545,3.9225242,19,3.6484156,12.0,0,19.972733,18.177132,20.988197
H,"iDR3.HYDRA-0053.019390",155.77526919541657,-29.784186871770604,2.090585,38,3.419118,12.0,0,18.074495,17.892416,19.215199
