Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,U_PStotal,F378_PStotal,F395_PStotal,F410_PStotal,F430_PStotal,G_PStotal,F515_PStotal,R_PStotal,F660_PStotal,I_PStotal,F861_PStotal,Z_PStotal,e_U_PStotal,e_F378_PStotal,e_F395_PStotal,e_F410_PStotal,e_F430_PStotal,e_G_PStotal,e_F515_PStotal,e_R_PStotal,e_F660_PStotal,e_I_PStotal,e_F861_PStotal,e_Z_PStotal
H,"iDR3.HYDRA-0077.074068",149.48358738891747,-33.1786172313488,6.159178,342,3.5090091,12.0,2,20.04673,20.262377,19.373066,16.934513,16.779316,16.591858,16.324959,15.99811,15.793303,19.61156,15.669968,18.69399,0.07278092,0.14338192,0.11521419,0.016686346,0.014322006,0.0053627286,0.009398604,0.0036656018,0.0039125998,0.046087813,0.0057250597,0.035464685
H,"iDR3.HYDRA-0096.000007",152.42477533218374,-37.072283320428525,3.3252175,31,3.5726645,11.0,0,30.209202,99.0,21.20845,19.873676,19.362194,19.756517,18.618263,18.570251,17.573017,18.953693,17.398796,17.509932,1770.3767,21.074398,0.8229277,0.2383051,0.13262935,0.083235726,0.05637394,0.02425963,0.011841065,0.03701148,0.018467225,0.017047336
S,"iDR3.SPLUS-n11s03.019847",152.78760079527692,-13.775264641130967,3.6766667,178,5.1783953,12.0,3,19.690008,19.101788,19.620203,19.696182,19.665136,19.119753,18.040955,19.203766,17.531147,19.752274,19.671848,19.58641,0.050529514,0.0499952,0.114855886,0.10001136,0.09910569,0.023019927,0.024489786,0.023393463,0.00950376,0.04646127,0.093409404,0.07342365
S,"iDR3.SPLUS-n12s31.073104",193.4212633331295,-14.168532292367281,5.4865317,22,1.82,10.0,0,22.339842,21.265095,99.0,20.078602,99.0,20.993755,21.070843,20.352577,19.837158,20.645992,19.80267,20.617365,0.36716726,0.20415768,21.644695,0.106418915,21.865938,0.08045225,0.19148572,0.048993576,0.03564591,0.078482464,0.09303325,0.14160359
S,"iDR3.SPLUS-n18s20.057259",178.1002986574552,-22.455001233857036,3.1181686,19,4.1137214,12.0,0,20.776642,20.68026,20.66257,20.541073,20.880669,20.596085,20.341871,19.938068,18.415298,20.507488,19.082806,19.79344,0.12332943,0.1656694,0.25303245,0.20189276,0.26542974,0.06966652,0.13017061,0.03985841,0.015686572,0.095965564,0.058333073,0.09988032
H,"iDR3.HYDRA-0014.002392",156.15271326415757,-24.57046234799539,6.498936,50,3.357554,12.0,2,20.619946,20.437593,20.518806,19.362728,19.710396,22.644875,19.177162,19.462528,18.943136,20.419598,18.727406,20.291922,0.084916756,0.11703466,0.20882006,0.0770273,0.09898282,0.39769822,0.051516153,0.025974747,0.02122354,0.07484665,0.04113943,0.12755266
H,"iDR3.HYDRA-0148.050363",158.33596413024327,-44.70483133437549,5.7188296,11,1.82,10.0,0,23.1897,99.0,20.989292,21.635817,99.0,20.973293,20.592571,20.160778,19.066483,20.971928,18.502481,22.032425,2.4397728,21.045736,0.6340084,1.0121012,20.824675,0.1858862,0.25684038,0.07167041,0.03269132,0.17439555,0.042925805,0.85351306
S,"iDR3.STRIPE82-0106.020286",313.94015496296885,0.380904458015274,4.207525,21,5.1603546,12.0,2,20.080538,19.619736,19.464827,19.013409,18.973484,19.105011,18.541353,19.380026,18.050365,20.510036,18.039555,21.164503,0.13410747,0.12244279,0.152642,0.09671497,0.08901749,0.04097428,0.048484966,0.04009776,0.016562723,0.13280618,0.031229874,0.41745526
S,"iDR3.SPLUS-s03s01.021440",325.3880970682759,-2.9619419755199896,2.361338,89,3.1581173,12.0,3,19.161526,18.895754,18.562536,17.841314,17.725153,17.251102,17.07142,16.948141,16.480804,17.776798,16.223267,19.454374,0.034484603,0.0424137,0.05038926,0.02835453,0.02510825,0.007864008,0.013816409,0.0059748227,0.0053654127,0.0114318235,0.008116424,0.08084229
S,"iDR3.SPLUS-s02s08.040033",334.89283243504946,-1.071376767124696,3.5545502,15,1.9132223,12.0,0,20.540123,20.128325,19.878288,20.341606,20.31994,20.335796,19.760565,19.940033,19.434006,20.572376,19.30635,21.661644,0.1282175,0.11603652,0.13856989,0.17228879,0.15698572,0.054418527,0.07860369,0.04058844,0.03231166,0.10255451,0.07238304,0.52968735
S,"iDR3.SPLUS-n17s10.004983",164.7871834653047,-22.195391631474138,2.3356764,166,2.4808471,11.0,3,18.090326,17.816202,17.688126,16.611439,16.339634,15.986048,15.561954,15.134351,14.645277,15.4824,14.311802,99.0,0.016325701,0.019928027,0.027429912,0.013818881,0.011688189,0.0042729345,0.0066715525,0.002447702,0.0022485377,0.0029703605,0.0029027862,21.637676
S,"iDR3.SPLUS-s22s33.000004",333.1803925715979,-28.96076557311981,6.6092114,39,4.7635098,9.0,0,21.557312,99.0,21.309319,99.0,21.83783,19.910769,99.0,19.275812,18.417606,19.982302,18.154886,18.304197,0.23592842,21.839373,0.5188817,21.25473,0.82715905,0.049619343,21.621948,0.03174599,0.020753479,0.07679364,0.03134728,0.032296937
S,"iDR3.SPLUS-n08s01.001524",151.23671407717939,-10.159438711697545,3.9225242,19,3.6484156,12.0,0,20.926514,20.923489,20.399658,20.527708,20.750612,20.531277,20.05677,19.972733,18.177132,20.988197,19.40195,19.984898,0.14224473,0.22584942,0.22896414,0.23346163,0.27541667,0.08032653,0.117178835,0.048671298,0.016282868,0.15551074,0.08461628,0.12111219
S,"iDR3.SPLUS-n03s18.007209",174.59468300063068,-3.255086112535046,4.4652605,28,4.6727,12.0,3,22.564077,22.778542,21.71314,21.716526,20.214317,20.622807,19.114746,19.152256,17.542654,19.727312,16.412485,21.92804,0.5744777,1.0128436,0.6223389,0.5554627,0.14282788,0.068697035,0.047864784,0.021730887,0.009243926,0.05612212,0.008502872,0.6277298
S,"iDR3.SPLUS-n16s10.014423",164.90823379364934,-20.61102919684325,3.0661542,25,3.0150056,12.0,2,23.041286,22.265095,22.225548,20.404285,21.16405,21.89059,20.270893,19.641212,18.828384,20.101112,18.096478,19.243938,0.8173321,0.66664183,1.0910615,0.20270309,0.39102554,0.230327,0.12995237,0.036081143,0.021035466,0.07246102,0.029701594,0.06357654
H,"iDR3.HYDRA-D-0002.000032",156.1366542698264,-35.34266792428269,2.9419925,174,2.7415805,12.0,0,18.446066,19.56515,18.211914,17.558949,17.078392,16.082388,16.579311,15.665255,15.051616,16.205748,14.731157,15.078684,0.019821359,0.07405104,0.042316396,0.023186365,0.016223582,0.0038739613,0.0102324365,0.0028951173,0.00255691,0.004064287,0.0034198917,0.0029169677
S,"iDR3.STRIPE82-0164.030228",354.400936509474,0.598658560618909,4.545269,25,2.9972517,12.0,2,20.838692,21.16372,21.099213,21.335714,21.00684,20.848324,20.530933,20.146753,18.86861,20.684025,19.537771,20.338345,0.102493234,0.20246471,0.3165987,0.32183945,0.22786756,0.06713828,0.12311383,0.039753113,0.020410744,0.07857373,0.07118023,0.111757606
S,"iDR3.STRIPE82-0099.000188",308.37760318468224,-1.3783601666587044,3.9188085,139,3.6649337,12.0,2,22.393013,18.870947,18.59322,17.993587,17.818933,18.400656,17.0419,18.463474,16.465258,19.700056,16.055435,15.99918,0.4311379,0.026698356,0.02825496,0.015352395,0.013107738,0.010282734,0.007372215,0.01124347,0.0030144432,0.042025384,0.004653228,0.0028672356
H,"iDR3.HYDRA-0102.075251",163.29524183797864,-35.63839883541829,4.1107907,41,1.82,12.0,0,19.814505,19.610384,18.928715,18.965134,20.330254,19.69646,18.604073,18.195444,17.664555,18.606255,18.072735,18.20926,0.102036014,0.14319302,0.107254,0.108189836,0.34223393,0.07383603,0.06280457,0.018273588,0.0150534315,0.028843502,0.03709548,0.030508118
H,"iDR3.HYDRA-0156.038421",159.86813932922573,-46.23380179974603,3.7114892,8,3.1215522,7.0,0,99.0,99.0,99.0,21.574549,99.0,20.468721,20.423094,20.01304,19.132504,20.635365,18.649025,99.0,21.044907,20.758137,20.422281,1.4118932,20.502832,0.17679434,0.3264259,0.08755687,0.044783723,0.16292779,0.05327578,21.3064
S,"iDR3.STRIPE82-0095.052984",306.7773939711684,-0.6357219920781817,3.2592437,13,3.721207,10.0,0,22.10587,20.694199,99.0,21.611313,24.254513,19.972992,21.94659,19.14422,18.520744,19.731363,99.0,21.281902,0.6763685,0.30704698,20.839287,0.81833893,8.241044,0.07306489,0.8826459,0.035345115,0.014666981,0.081992544,20.579802,0.52576077
S,"iDR3.STRIPE82-0112.023499",318.19224881157754,0.4463619066385694,6.254744,58,4.546764,12.0,3,20.323627,20.342058,19.960396,19.444546,19.434978,19.346632,18.643484,18.692482,18.015629,19.755493,17.833834,19.467081,0.08809058,0.1268035,0.17931211,0.08570465,0.07924202,0.02700996,0.035916325,0.017692281,0.013344725,0.056461513,0.023996372,0.07970439
S,"iDR3.STRIPE82-0141.018587",338.3061798828739,-0.9200969942086774,2.3123558,42,0.0,12.0,3,21.575191,20.22311,20.163292,20.489273,19.902828,19.003248,18.70735,17.763111,16.98271,20.48605,16.035316,15.9851055,0.279408,0.13388936,0.22544475,0.23896222,0.14175318,0.020854557,0.042009257,0.009234788,0.0073500318,0.0928886,0.0076034246,0.004855659
S,"iDR3.SPLUS-n13s04.008548",155.42092207372565,-16.737509537070316,2.6214108,18,3.807827,12.0,0,23.51065,23.083895,20.84556,23.23473,22.7416,21.00581,20.335552,19.509312,18.754583,20.12772,17.637789,19.28345,1.5421083,1.572245,0.34425357,2.730223,1.6932069,0.10775125,0.14708285,0.028945148,0.019886013,0.06141783,0.01870468,0.056739688
S,"iDR3.SPLUS-s29s48.053120",320.1024315448749,-37.035562171048795,5.6864643,25,4.7241893,12.0,3,21.179497,21.254683,20.624613,20.240429,20.422432,19.88458,19.68137,19.864025,19.160248,20.169958,18.782742,20.94482,0.18453647,0.36264342,0.29080415,0.1828822,0.20510975,0.04613641,0.087337345,0.046980277,0.029697565,0.08397426,0.052770883,0.2985162
S,"iDR3.SPLUS-s26s12.024278",18.395545963646896,-33.50064042373719,5.019779,18,3.686205,12.0,0,21.326214,21.285324,20.497158,20.397524,20.342373,20.839401,20.296799,20.176275,19.652308,20.537758,19.143791,19.774103,0.21118505,0.39942655,0.31724545,0.26402712,0.2701931,0.1507411,0.19720924,0.08192681,0.064404555,0.1287935,0.079012856,0.10109417
S,"iDR3.SPLUS-n15s21.016839",178.05431943383525,-19.209141541172368,2.6693866,290,0.0,12.0,3,17.513283,17.136944,16.93868,16.560287,16.439629,16.252487,16.088585,16.49841,15.940748,17.52542,15.802783,15.747496,0.01240848,0.015272549,0.020385252,0.014682569,0.013482215,0.0050925836,0.009046906,0.004895542,0.004209958,0.0094266,0.007384182,0.0044219885
S,"iDR3.SPLUS-s17s23.010277",317.2079549840881,-22.096342364756048,3.2589316,41,5.166801,12.0,3,19.840601,19.569122,19.419605,19.002592,18.970486,18.67676,18.520624,19.423807,18.31234,20.604671,18.069815,22.15023,0.050715618,0.068361014,0.10396211,0.06863081,0.062807575,0.019767163,0.036692094,0.029832778,0.016059352,0.099430546,0.026553953,0.6983475
H,"iDR3.HYDRA-0153.109598",153.8227007784095,-45.714538397348576,5.0172195,19,4.0698533,12.0,3,19.82182,19.532,19.181053,18.935892,18.790266,19.424017,18.362362,20.051533,18.25489,20.874092,17.906075,20.126244,0.07087345,0.07888011,0.091900066,0.07243843,0.060309764,0.047130078,0.039022993,0.065416865,0.01828742,0.19759431,0.030720891,0.19491017
S,"iDR3.STRIPE82-0112.020655",318.1924501945227,0.3899566703291452,3.8215456,27,3.9132602,12.0,2,21.29891,20.99194,20.875725,20.347809,20.188637,20.649271,19.567417,19.795095,19.10152,20.704458,18.7431,19.45368,0.19973208,0.21808846,0.38723773,0.17801836,0.1448452,0.07208169,0.069978245,0.03999286,0.027573742,0.1305475,0.04985923,0.079291716
H,"iDR3.HYDRA-0124.075917",157.81345348707177,-40.15591393329525,5.754659,46,3.772675,12.0,3,18.701662,18.418333,18.29415,17.831636,17.667358,18.413864,17.285763,19.030312,17.024101,19.8467,16.730337,21.061499,0.03556718,0.03969782,0.051020928,0.03395745,0.029304199,0.018684613,0.017865064,0.02433814,0.0077528884,0.058296397,0.011058607,0.31470567
H,"iDR3.HYDRA-0111.041295",163.9437609168157,-37.75974882908552,3.1014614,30,4.584088,9.0,0,24.120365,22.224436,99.0,21.223713,21.465466,99.0,22.221283,19.570118,19.045511,20.065372,99.0,18.112478,2.4830635,0.765954,20.972366,0.4809815,0.54667944,22.762005,0.8759533,0.03344428,0.031046553,0.06517014,20.43206,0.022384059
H,"iDR3.HYDRA-0081.037886",158.01332462581152,-33.510635765432745,6.684685,51,4.1727924,12.0,0,19.867424,19.544659,19.046032,19.036715,18.734558,18.589096,18.12551,18.139,17.568756,18.81814,17.511322,19.818468,0.06370679,0.077167295,0.07669213,0.06345896,0.059414905,0.021168007,0.03525743,0.0133449575,0.011218742,0.02707583,0.020626714,0.12493127
S,"iDR3.STRIPE82-0026.050711",17.242995026203268,1.3925796570239284,4.104789,55,6.820391,12.0,1,20.44729,19.661205,19.684263,19.940184,20.122059,19.594866,18.36296,19.696598,18.41548,20.082726,20.040792,20.08871,0.08881422,0.061864853,0.09566926,0.10094759,0.11981744,0.027518429,0.027082028,0.029398263,0.014884782,0.05368451,0.11808402,0.10112265
H,"iDR3.HYDRA-0121.055452",150.3682932785934,-40.49026205178558,3.000967,16,2.202647,11.0,0,20.687935,22.94918,22.018805,99.0,20.51272,25.350462,19.884768,19.336868,18.8642,20.540432,18.459759,18.409044,0.22583467,2.4632156,1.6379411,20.72306,0.39048514,12.992281,0.17820895,0.046221197,0.03643777,0.14285816,0.04529931,0.032990105
H,"iDR3.HYDRA-0145.017924",152.45026906210012,-45.13321954408437,3.9963508,14,4.788527,12.0,0,20.418465,20.405897,20.628063,19.355263,19.224289,20.067467,18.5943,19.865936,18.077347,20.880287,17.748066,22.870378,0.101022676,0.14511278,0.2610777,0.07996207,0.06706,0.047682285,0.034924027,0.041582976,0.013434538,0.13933653,0.02203679,1.6328621
S,"iDR3.SPLUS-s26s44.000936",70.25948809877283,-34.22704098131671,3.4090924,56,3.5881863,12.0,2,18.727322,18.257637,18.310135,17.630852,17.592861,18.09756,17.227726,17.865677,17.051985,19.364927,16.893366,19.048433,0.03583051,0.037618507,0.05765637,0.03584146,0.033842098,0.019108988,0.020584458,0.011641876,0.008474497,0.039594043,0.012291562,0.05124291
S,"iDR3.STRIPE82-0027.023036",18.89077699675322,-0.8587455347938298,5.119996,437,3.434494,12.0,3,17.241732,16.629147,17.14217,17.347046,17.24123,16.82633,15.820413,16.82498,14.995115,17.574333,17.75618,17.290575,0.00757516,0.009852136,0.017791586,0.013537587,0.0180346,0.0040509347,0.0048488555,0.00433894,0.0018134734,0.0077073374,0.019768616,0.011246724
S,"iDR3.STRIPE82-0090.164954",301.96020881354997,1.4357992517420628,3.8732753,23,1.82,11.0,0,21.115837,23.228098,99.0,20.731045,20.10244,20.139101,19.423689,19.493584,18.980389,19.818193,19.730331,18.620975,0.20907602,1.9510075,21.129873,0.2733509,0.14343059,0.05324994,0.07750015,0.0359215,0.026167182,0.06496917,0.12269303,0.04187482
S,"iDR3.STRIPE82-0169.030158",357.8153294830434,-5.8998646198314144E-5,3.1357136,12,7.3775544,12.0,0,21.329817,22.02417,20.105145,20.81092,20.449987,20.875408,21.030518,20.296467,19.53109,20.750835,19.7211,20.252712,0.44405377,0.95880306,0.2656451,0.51676065,0.33046943,0.16715036,0.5037956,0.087945394,0.06410695,0.15153797,0.1580328,0.16613674
